fips,year,n_plans,bid_mean_unweighted,w_sum,wx_sum,bid_mean_weighted,hhi,market_type
12097,2018,370,675.1874594594594,35523.808333333334,19439055.742166664,547.212043251744,0.0424201648790454,competitive
12099,2018,522,679.7731609195403,121788.41666666666,73537828.47666666,603.8162781764275,0.1054353112001307,competitive
12101,2018,476,682.508550420168,72063.54545454546,37502356.95454545,520.406770413486,0.0653473604996332,competitive
12103,2018,528,684.646553030303,116750.0,64505237.02,552.5073834689508,0.0569294698902101,competitive
12105,2018,488,676.0161680327869,79806.0,44309128.97,555.2104975816354,0.0500324238252419,competitive
12107,2018,207,760.5055072463769,6964.0,4323653.35,620.8577469844917,0.1290683917717804,competitive
12109,2018,269,731.9407063197026,14695.666666666668,9603627.396666666,653.5006280763037,0.0941491417951168,competitive
12111,2018,345,706.5652463768116,31688.8,19707040.664,621.8929294892833,0.0682209417933515,competitive
12113,2018,217,763.1470506912442,10694.0,6743283.16,630.5669683934917,0.0793963669870462,competitive
12115,2018,407,707.1450368550369,41429.0,26544623.55,640.7256643896787,0.0494441411385186,competitive
12117,2018,352,682.1421590909091,33748.333333333336,19135702.71,567.0117845819547,0.0555742445340168,competitive
12119,2018,295,724.4288135593221,29270.0,16886454.2,576.9201981551076,0.1699216546954132,middle
12121,2018,170,781.5837647058823,2958.0,1981980.7600000002,670.0408248816769,0.1922717001281406,middle
12123,2018,157,800.1815286624204,1268.0,858410.3133333334,676.9797423764459,0.3000758052289479,uncompetitive
12125,2018,155,799.8369032258065,536.0,359764.48,671.2023880597014,0.2335639897527289,uncompetitive
12127,2018,419,703.8637470167064,72016.57142857143,42086212.65285714,584.3962273960755,0.089633512953721,competitive
12129,2018,169,786.5299408284023,3122.0,2218707.64,710.6686867392698,0.1692426779771884,middle
12131,2018,192,769.0890104166666,4121.25,2766651.505,671.3136803154382,0.0993646734272233,competitive
12133,2018,162,788.049012345679,1392.0,928687.41,667.1604956896552,0.1508083960893116,middle
