fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,plan_count,ffs_cost,ffs_quartile,treated_competitive,control_uncompetitive,treated
08113,2018,49.0,1225.0,0.5102040816326531,100.0,1083.0,0.0923361034164358,387,,,0,1,0
08115,2018,13.0,169.0,1.0,33.0,689.0,0.0478955007256894,384,,,0,1,0
08117,2018,308.0,12632.0,0.1331590487434643,357.0,3672.0,0.0972222222222222,393,,,1,0,1
08119,2018,2117.0,1050111.0,0.2343114392810389,2100.0,6399.0,0.3281762775433661,438,,,0,1,0
08125,2018,14.0,196.0,1.0,46.0,1957.0,0.0235053653551354,386,,,0,1,0
09001,2018,45469.0,130916491.0,0.0633233016206637,41274.0,156851.0,0.2631414527162721,511,,,1,0,1
09003,2018,79135.0,492415341.0,0.0786311018340089,72292.0,173001.0,0.4178704169340062,512,,,1,0,1
09005,2018,14562.0,15416288.0,0.0727005609062282,12922.0,42174.0,0.3063973063973064,460,,,1,0,1
09007,2018,15703.0,27100603.0,0.1099040490463848,13793.0,36229.0,0.3807171050815645,460,,,1,0,1
09009,2018,63913.0,293333999.0,0.0718098461714452,58594.0,165551.0,0.3539332290351614,504,,,1,0,1
09011,2018,17957.0,35258289.0,0.1093436754107407,15815.0,55409.0,0.2854229457308379,473,,,1,0,1
09013,2018,12916.0,20244822.0,0.1213550601782525,11607.0,26790.0,0.4332586786114222,446,,,1,0,1
09015,2018,8957.0,10378475.0,0.1293624985508461,8207.0,23350.0,0.3514775160599572,447,,,1,0,1
10001,2018,4368.0,1806270.0,0.0946710969890915,4338.0,35428.0,0.1224455233148921,429,,,1,0,1
10003,2018,16222.0,22560056.0,0.085729714853188,15961.0,99187.0,0.1609182654985028,479,,,1,0,1
10005,2018,6845.0,5063219.0,0.1080636935674149,6538.0,67041.0,0.0975224116585373,444,,,1,0,1
11001,2018,17086.0,75660562.0,0.2591724050125804,15705.0,95334.0,0.1647366102334948,473,,,0,1,0
12001,2018,10296.0,11310986.0,0.1066997488180471,9923.0,43790.0,0.2266042475451016,503,,,1,0,1
12005,2018,9549.0,7392727.0,0.081075359318962,9445.0,39027.0,0.2420119404514823,512,,,1,0,1
12009,2018,60055.0,302223155.0,0.083797177816652,59366.0,154274.0,0.384808846597612,682,,,1,0,1
12011,2018,177030.0,3243648468.0,0.1034999267652277,174561.0,324225.0,0.5383946333564654,832,,,1,0,1
12015,2018,24014.0,34331098.0,0.0595331251240002,23533.0,68590.0,0.3430966613208923,608,,,1,0,1
12017,2018,22195.0,29968651.0,0.0608354738948092,21460.0,58200.0,0.3687285223367698,587,,,1,0,1
12019,2018,11518.0,11843900.0,0.0892772046236032,11305.0,41624.0,0.2715981164712666,520,,,1,0,1
12021,2018,23740.0,46750252.0,0.0829511720981795,23177.0,98625.0,0.2350012674271229,603,,,1,0,1
12023,2018,4508.0,2397506.0,0.1179755166601187,4346.0,15826.0,0.2746113989637305,462,,,1,0,1
12027,2018,2181.0,648943.0,0.1364253953478007,2129.0,7319.0,0.2908867331602678,451,,,1,0,1
12029,2018,1276.0,390770.0,0.2400047660695158,1255.0,4177.0,0.3004548719176442,418,,,0,1,0
12031,2018,61481.0,227462563.0,0.0601766604882772,59605.0,161279.0,0.3695769443014899,648,,,1,0,1
12033,2018,22608.0,31931608.0,0.0624735953277848,21995.0,69564.0,0.3161836582140187,529,,,1,0,1
12035,2018,15604.0,21126914.0,0.0867689178613914,15340.0,36623.0,0.4188624634792343,527,,,1,0,1
12039,2018,5541.0,3358817.0,0.1093981662383164,5447.0,10272.0,0.5302764797507789,426,,,1,0,1
12049,2018,1484.0,228680.0,0.1038389723992124,1421.0,4554.0,0.3120333772507686,445,,,1,0,1
12053,2018,32009.0,63821901.0,0.0622910315627405,31844.0,59932.0,0.5313355135820597,613,,,1,0,1
12055,2018,11698.0,14161660.0,0.1034882229153301,11495.0,33631.0,0.3417977461270851,538,,,1,0,1
12057,2018,114933.0,588071151.0,0.0445184862782656,112428.0,231546.0,0.4855536264932238,759,,,1,0,1
12061,2018,13937.0,13210517.0,0.0680113216039485,13445.0,51258.0,0.2623005189433844,555,,,1,0,1
12065,2018,1690.0,411202.0,0.1439732502363362,1662.0,3585.0,0.4635983263598326,429,,,1,0,1
12067,2018,237.0,15119.0,0.269169826772775,243.0,1122.0,0.2165775401069518,416,,,0,1,0
12069,2018,39286.0,98869190.0,0.064059766532239,37909.0,102873.0,0.3685029113567214,638,,,1,0,1
12071,2018,65305.0,318326345.0,0.0746413894422161,64006.0,191151.0,0.3348452270717914,728,,,1,0,1
12081,2018,35953.0,57945321.0,0.0448278699747142,35330.0,99856.0,0.3538094856593494,673,,,1,0,1
12083,2018,51693.0,180385993.0,0.067505527796972,50253.0,114898.0,0.4373705373461679,644,,,1,0,1
12085,2018,13063.0,14454427.0,0.0847061662773007,12818.0,47321.0,0.2708733965892521,535,,,1,0,1
12086,2018,316452.0,6853358868.0,0.0684364989795806,307853.0,464276.0,0.6630818737130499,748,,,1,0,1
12089,2018,6175.0,4914693.0,0.1288909636283171,5996.0,20887.0,0.287068511514339,445,,,1,0,1
12091,2018,7216.0,5181258.0,0.0995043734421168,7036.0,40613.0,0.1732450200674661,486,,,1,0,1
12095,2018,89987.0,382739605.0,0.0472654565654939,88473.0,188250.0,0.4699760956175299,737,,,1,0,1
12097,2018,35422.0,53225348.0,0.0424201648790454,35119.0,60543.0,0.5800670597756966,642,,,1,0,1
12099,2018,122105.0,1572001587.0,0.1054353112001307,121168.0,319654.0,0.3790598584719728,796,,,1,0,1
12101,2018,72039.0,339127807.0,0.0653473604996332,71181.0,132698.0,0.5364135103769462,748,,,1,0,1
12103,2018,117034.0,779760510.0,0.0569294698902101,116331.0,246480.0,0.4719693281402142,802,,,1,0,1
12105,2018,79770.0,318368966.0,0.0500324238252419,78067.0,154737.0,0.5045141110400228,756,,,1,0,1
12107,2018,6964.0,6259468.0,0.1290683917717804,6706.0,19691.0,0.3405616779239246,461,,,1,0,1
12109,2018,14669.0,20258971.0,0.0941491417951168,14051.0,53165.0,0.2642904166274805,542,,,1,0,1
12111,2018,31666.0,68407564.0,0.0682209417933515,30788.0,78069.0,0.3943690837592386,614,,,1,0,1
12113,2018,10672.0,9042578.0,0.0793963669870462,10433.0,34328.0,0.303920997436495,484,,,1,0,1
12115,2018,41429.0,84864047.0,0.0494441411385186,40387.0,141871.0,0.2846741053492257,679,,,1,0,1
12117,2018,33706.0,63137590.0,0.0555742445340168,33200.0,80764.0,0.4110742409984647,624,,,1,0,1
12123,2018,1245.0,465125.0,0.3000758052289479,1243.0,4964.0,0.2504029008863819,425,,,0,1,0
12125,2018,536.0,67102.0,0.2335639897527289,536.0,2196.0,0.24408014571949,419,,,0,1,0
12127,2018,71962.0,464169786.0,0.089633512953721,70899.0,146494.0,0.4839720398105042,688,,,1,0,1
12131,2018,4110.0,1678478.0,0.0993646734272233,3922.0,15049.0,0.2606153232772942,459,,,1,0,1
13009,2018,3929.0,4254913.0,0.2756300899893963,3867.0,8785.0,0.4401821286283437,435,,,0,1,0
13013,2018,4856.0,2389274.0,0.1013231308810717,4780.0,12565.0,0.3804218066056506,466,,,1,0,1
13015,2018,6394.0,5261462.0,0.1286948518458764,6314.0,18571.0,0.339992461364493,451,,,1,0,1
13017,2018,1412.0,256052.0,0.1284277219141474,1392.0,3778.0,0.3684489147697194,415,,,1,0,1
13021,2018,12248.0,15911584.0,0.106067677747198,11930.0,31342.0,0.3806393976134261,459,,,1,0,1
